"id_question","id_version","version","date_creation","module","theme","type_item","niveau","public_cible","role_test","enonce_fr","options_fr","reponse_correcte","explication_fr","action_fr","idee_fausse_ciblee","enonce_en","options_en","explication_en","action_en","statut_traduction","source_documentaire","id_inventaire","secteur_validateur","date_validation","date_revision_prevue","visa_validation","statut","sensibilite","motif_suspension","historique","indice_difficulte","indice_discrimination","distracteur_dominant","n_observations","date_calcul_psy","media_associe","audio_ref","schema_version"
"DUSSC-M02-010","DUSSC-M02-010-v1","1","2026-08-02","M02","Animaux sauvages","Situation","Intermédiaire","A2;B5;D2","Question courante","Vous êtes mordu par un animal sauvage lors d'un déplacement en brousse. Quelle est la bonne conduite ?","[""Laver la plaie 15 minutes, consulter au plus vite et signaler l'incident aux services compétents"", ""Considérer que le risque est faible car l'animal était en liberté"", ""Attendre le retour au village avant de laver la plaie"", ""Ne rien signaler pour éviter des complications""]","A","Plusieurs animaux sauvages peuvent transmettre la rage. Le comportement anormal d'un animal sauvage qui attaque est en soi un signal d'alerte.","Lavez immédiatement, consultez, et informez le service des forêts et de la faune ou le service vétérinaire.","« Une morsure d'animal sauvage est moins dangereuse »","You are bitten by a wild animal while travelling through the bush. What is the right course of action?","[""Wash the wound for 15 minutes, seek care as soon as possible and report the incident to the competent services"", ""Assume the risk is low because the animal was free-living"", ""Wait until returning to the village before washing the wound"", ""Report nothing, to avoid complications""]","Several wild animals can transmit rabies. Unusual behaviour in a wild animal that attacks is in itself a warning sign.","Wash immediately, seek care, and inform the forestry and wildlife service or the veterinary service.","Traduit","","INV-B-001","MINSANTE;MINFOF","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M02-011","DUSSC-M02-011-v1","1","2026-08-02","M02","Pratiques à risque","Attitude","Grand public","A1;A2;B1;C1","Question courante","Appliquer du piment, de l'huile, des plantes ou de la terre sur une plaie de morsure :","[""N'apporte aucune protection contre la rage et peut aggraver l'infection de la plaie"", ""Aide à désinfecter la plaie"", ""Remplace la consultation médicale"", ""Est recommandé avant de se rendre au centre de santé""]","A","Ces applications n'ont aucun effet sur le virus et peuvent introduire d'autres germes. Elles retardent surtout le recours au traitement qui, lui, protège.","Lavez uniquement à l'eau et au savon, puis rendez-vous en formation sanitaire.","« Les préparations traditionnelles protègent de la rage »","Applying pepper, oil, plants or soil to a bite wound:","[""Gives no protection against rabies and may worsen infection of the wound"", ""Helps to disinfect the wound"", ""Replaces medical consultation"", ""Is recommended before going to the health centre""]","These applications have no effect on the virus and may introduce other germs. Above all, they delay the treatment that does protect.","Wash only with water and soap, then go to a health facility.","Traduit","","INV-B-001","MINSANTE","","","","En revue éditoriale","Sensible","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M02-012","DUSSC-M02-012-v1","1","2026-08-02","M02","Orientation","Orientation","Grand public","A1;A2;C1","Question courante","Après avoir lavé une plaie de morsure, où devez-vous vous rendre ?","[""Chez un vendeur de médicaments du quartier"", ""Chez le propriétaire du chien"", ""Dans une formation sanitaire, le jour même"", ""Nulle part, si la plaie est petite""]","C","Seule une formation sanitaire peut évaluer l'exposition et administrer, si nécessaire, le traitement après exposition dans les délais utiles.","Rendez-vous dans la formation sanitaire la plus proche sans attendre le lendemain.","« Une petite plaie ne nécessite pas de consultation »","After washing a bite wound, where should you go?","[""To a medicine seller in the neighbourhood"", ""To the dog owner's home"", ""To a health facility, the same day"", ""Nowhere, if the wound is small""]","Only a health facility can assess the exposure and, where needed, give treatment after exposure within the time that it works.","Go to the nearest health facility without waiting until the next day.","Traduit","","INV-B-001","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M02-013","DUSSC-M02-013-v1","1","2026-08-02","M02","Évaluation de l'exposition","Connaissance","Professionnel","D1;D2","Question courante","Devant une personne mordue, quel élément doit orienter en priorité la conduite à tenir ?","[""La taille de la plaie uniquement"", ""La nature du contact, sa localisation, le statut de l'animal et le délai depuis l'exposition"", ""La race du chien"", ""L'âge du propriétaire de l'animal""]","B","L'évaluation combine le type de contact, sa localisation, l'état et le statut vaccinal de l'animal, et le délai écoulé. Elle détermine la conduite à tenir.","Documentez chaque élément dans le dossier et orientez selon le protocole national en vigueur.","« Seule la profondeur de la plaie compte »","Faced with a bitten person, which element should guide management first?","[""The size of the wound only"", ""The nature of the contact, its site, the status of the animal and the time since exposure"", ""The breed of the dog"", ""The age of the animal's owner""]","Assessment combines the type of contact, its site, the condition and vaccination status of the animal, and the time elapsed. It determines what must be done.","Record each element in the file and refer according to the national protocol in force.","Traduit","","INV-B-001","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M02-014","DUSSC-M02-014-v1","1","2026-08-02","M02","Conduite après morsure","Situation","Grand public","A1;A2;A3;B1;C1;C2;D1","Ancre post-test","Un chien du voisinage mord votre voisin à la main. Que lui conseillez-vous de faire immédiatement ?","[""D'attendre quelques jours pour voir l'évolution"", ""De surveiller uniquement le chien"", ""D'appliquer un produit traditionnel et de se reposer"", ""De laver longuement la plaie à l'eau et au savon puis d'aller le jour même dans une formation sanitaire""]","D","Le lavage long au savon réduit le risque, mais seule la prise en charge médicale rapide protège réellement. Les deux gestes vont ensemble.","Accompagnez-le si possible à la formation sanitaire et signalez le chien au service vétérinaire.","« Il suffit de surveiller l'animal »","A neighbourhood dog bites your neighbour on the hand. What do you advise him to do immediately?","[""To wait a few days and see how it develops"", ""To watch the dog only"", ""To apply a traditional product and rest"", ""To wash the wound thoroughly with water and soap, then go to a health facility the same day""]","Long washing with soap lowers the risk, but only prompt medical care truly protects. The two steps go together.","Go with him to the health facility and report the dog to the veterinary service.","Traduit","","INV-B-001","MINSANTE;MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-001","DUSSC-M03-001-v1","1","2026-08-02","M03","Mortalité animale subite","Situation","Grand public","A2;B1;B3;B4;D2","Ancre pré-test","Une de vos vaches meurt brutalement dans la nuit, sans avoir été malade. Que faites-vous ?","[""Je laisse la carcasse fermée, j'éloigne les personnes et les animaux, et j'appelle immédiatement le service vétérinaire"", ""Je récupère seulement la peau"", ""Je la dépèce rapidement pour vendre la viande"", ""Je l'enterre moi-même sans en parler""]","A","Une mort subite peut signaler le charbon. Ouvrir la carcasse libère des germes qui survivent des années dans le sol et contaminent le pâturage, les autres animaux et les personnes.","Contactez le centre zootechnique et vétérinaire. L'élimination doit être faite par le service compétent.","« Un animal mort récemment reste consommable si la viande paraît saine »","One of your cows dies suddenly during the night, without having been sick. What do you do?","[""I leave the carcass unopened, keep people and animals away, and call the veterinary service immediately"", ""I keep only the hide"", ""I skin it quickly to sell the meat"", ""I bury it myself without telling anyone""]","A sudden death may signal anthrax. Opening the carcass releases germs that survive for years in the soil and contaminate the pasture, other animals and people.","Contact the zootechnical and veterinary centre. Disposal must be done by the competent service.","Traduit","","INV-B-004","MINEPIA;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-002","DUSSC-M03-002-v1","1","2026-08-02","M03","Sous-produits de la carcasse","Situation","Grand public","B1;B3;B4","Question courante","Un animal est mort subitement. Peut-on au moins récupérer sa peau ou ses cornes ?","[""Oui, ces parties ne présentent aucun danger"", ""Oui, si on les sèche au soleil"", ""Oui, si on les lave à l'eau"", ""Non, tout contact avec la carcasse expose au risque et peut disséminer les germes""]","D","La peau et les autres parties peuvent porter des germes très résistants. Les manipuler expose la personne et transporte la contamination jusqu'aux habitations.","Ne prélevez rien sur la carcasse. Attendez l'intervention du service vétérinaire.","« On peut sauver la peau sans risque »","An animal has died suddenly. Can at least its hide or horns be recovered?","[""Yes, these parts carry no danger"", ""Yes, if they are dried in the sun"", ""Yes, if they are washed with water"", ""No, any contact with the carcass exposes you and can spread the germs""]","The hide and other parts can carry highly resistant germs. Handling them exposes the person and carries contamination back to the home.","Take nothing from the carcass. Wait for the veterinary service to act.","Traduit","","INV-B-004","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-003","DUSSC-M03-003-v1","1","2026-08-02","M03","Effet de la cuisson","Connaissance","Grand public","A1;A2;B3;B4","Question courante","La cuisson prolongée rend-elle consommable la viande d'un animal mort subitement de maladie ?","[""Oui, la cuisson détruit tous les dangers"", ""Non, certains germes résistent et le danger existe déjà au moment de la découpe"", ""Oui, si la viande est bouillie plusieurs heures"", ""Oui, si elle est fumée""]","B","Une partie du risque survient dès la découpe, par contact avec la peau et par les projections. De plus, certains germes forment des spores très résistantes à la chaleur.","Ne découpez jamais un animal mort de cause inconnue, quelle que soit la cuisson envisagée.","« La cuisson rend tout consommable »","Does long cooking make the meat of an animal that died suddenly of disease safe to eat?","[""Yes, cooking destroys every danger"", ""No, some germs resist and the danger already exists at the moment of cutting"", ""Yes, if the meat is boiled for several hours"", ""Yes, if it is smoked""]","Part of the risk arises at the moment of cutting, through contact with the hide and through splashes. In addition, some germs form spores that resist heat.","Never cut up an animal that has died of an unknown cause, whatever cooking is planned.","Traduit","","INV-B-004","MINEPIA;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-004","DUSSC-M03-004-v1","1","2026-08-02","M03","Signes évocateurs","Connaissance","Intermédiaire","B1;D2;C2","Question courante","Quel signe doit faire suspecter un charbon bactéridien devant un animal mort ?","[""Une mort survenue après plusieurs semaines de maigreur"", ""Une mort après un accident de la route"", ""Une blessure visible à la patte"", ""Une mort brutale, avec un sang sombre qui coule des orifices et coagule mal""]","D","La mort subite associée à un écoulement de sang sombre et fluide aux orifices est un signe classique. Elle impose de ne pas ouvrir l'animal.","N'ouvrez pas la carcasse et alertez immédiatement le service vétérinaire.","« Une mort subite est forcément accidentelle »","Which sign should raise suspicion of anthrax in a dead animal?","[""Death after several weeks of wasting"", ""Death after a road accident"", ""A visible wound on the leg"", ""Sudden death, with dark blood flowing from the openings and clotting poorly""]","Sudden death together with dark, thin blood at the openings is a classic sign. It means the animal must not be opened.","Do not open the carcass and alert the veterinary service immediately.","Traduit","","INV-B-004","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-005","DUSSC-M03-005-v1","1","2026-08-02","M03","Forme humaine","Situation","Intermédiaire","B1;B3;D1","Question courante","Quelques jours après avoir manipulé un animal mort, une personne présente sur le bras une plaie noirâtre qui ne fait pas mal. Que faut-il faire ?","[""Attendre, puisque la lésion n'est pas douloureuse"", ""Consulter immédiatement en signalant le contact avec l'animal mort"", ""Appliquer un produit traditionnel"", ""Percer la lésion""]","B","Une lésion noire indolore après contact avec un animal mort doit faire évoquer un charbon cutané. Le fait qu'elle ne soit pas douloureuse ne signifie pas qu'elle est bénigne.","Consultez sans délai et précisez au soignant le contact avec l'animal mort.","« Une plaie qui ne fait pas mal n'est pas grave »","A few days after handling a dead animal, a person develops a blackish sore on the arm that is not painful. What should be done?","[""Wait, since the sore is not painful"", ""Seek care immediately, mentioning the contact with the dead animal"", ""Apply a traditional product"", ""Pierce the sore""]","A painless black sore after contact with a dead animal should raise suspicion of cutaneous anthrax. The absence of pain does not mean it is harmless.","Seek care without delay and tell the health worker about the contact with the dead animal.","Traduit","","INV-B-004","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-006","DUSSC-M03-006-v1","1","2026-08-02","M03","Élimination de la carcasse","Situation","Grand public","A2;B1;D2","Question courante","Faut-il enterrer soi-même un animal mort subitement, sans en informer personne ?","[""Oui, c'est la solution la plus rapide"", ""Oui, si on creuse profondément"", ""Non, l'élimination doit être organisée par le service vétérinaire pour éviter de contaminer le sol et l'eau"", ""Oui, si on l'enterre loin du village""]","C","Un enfouissement mal réalisé laisse des germes dans le sol pendant des années. Le service vétérinaire dispose des méthodes et des produits appropriés.","Signalez la mortalité avant toute manipulation ou enfouissement.","« Enterrer suffit à supprimer le danger »","Should you bury an animal that has died suddenly yourself, without telling anyone?","[""Yes, it is the quickest solution"", ""Yes, if you dig deep enough"", ""No, disposal must be organised by the veterinary service to avoid contaminating soil and water"", ""Yes, if you bury it far from the village""]","Poorly done burial leaves germs in the soil for years. The veterinary service has the right methods and products.","Report the death before any handling or burial.","Traduit","","INV-B-004","MINEPIA;MINEPDED","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-007","DUSSC-M03-007-v1","1","2026-08-02","M03","Commercialisation","Attitude","Grand public","B3;B4","Question courante","Un commerçant vous propose à bas prix la viande d'un animal mort la veille dans un pâturage. Que faites-vous ?","[""Je refuse, j'alerte le service vétérinaire et je préviens mon entourage"", ""J'achète, l'occasion est bonne"", ""J'achète et je fais bien cuire"", ""J'achète pour nourrir mes animaux""]","A","Vendre la viande d'un animal mort de maladie expose de nombreuses personnes à la fois. Le signalement permet d'interrompre la chaîne avant que d'autres n'achètent.","Refusez l'achat et informez le centre zootechnique et vétérinaire.","« Une bonne affaire vaut le risque »","A trader offers you cheap meat from an animal that died the day before in a pasture. What do you do?","[""I refuse, alert the veterinary service and warn those around me"", ""I buy, it is a good deal"", ""I buy and cook it thoroughly"", ""I buy it to feed my animals""]","Selling meat from an animal that died of disease exposes many people at once. Reporting breaks the chain before others buy.","Refuse the purchase and inform the zootechnical and veterinary centre.","Traduit","","INV-B-004","MINEPIA;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-008","DUSSC-M03-008-v1","1","2026-08-02","M03","Prévention par la vaccination","Connaissance","Grand public","B1;A2;D2","Question courante","Comment protéger durablement un troupeau contre le charbon dans une zone à risque ?","[""En faisant vacciner régulièrement les animaux selon les recommandations des services vétérinaires"", ""En changeant de pâturage chaque semaine"", ""En donnant des antibiotiques préventifs à tout le troupeau"", ""En ne faisant rien de particulier""]","A","La vaccination du bétail est la mesure préventive de référence dans les zones où la maladie est connue. Elle protège le troupeau et, indirectement, les personnes.","Rapprochez-vous du service vétérinaire pour connaître le calendrier de vaccination de votre zone.","« Les antibiotiques préventifs remplacent la vaccination »","How can a herd be durably protected against anthrax in an area at risk?","[""By having the animals vaccinated regularly, as advised by the veterinary services"", ""By changing pasture every week"", ""By giving preventive antibiotics to the whole herd"", ""By doing nothing in particular""]","Vaccinating livestock is the standard preventive measure in areas where the disease is known. It protects the herd and, indirectly, people.","Contact the veterinary service for the vaccination schedule in your area.","Traduit","","INV-B-004","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-009","DUSSC-M03-009-v1","1","2026-08-02","M03","Persistance environnementale","Connaissance","Intermédiaire","B1;C2;D2","Question courante","Combien de temps les germes du charbon peuvent-ils persister dans un sol contaminé ?","[""Quelques heures"", ""Quelques jours"", ""Plusieurs années"", ""Ils ne survivent pas hors de l'animal""]","C","Sous forme de spores, ces germes survivent très longtemps dans le sol. Un pâturage contaminé peut redevenir dangereux des années plus tard, notamment après de fortes pluies.","Signalez tout foyer afin que la zone soit prise en charge et évitez d'y faire pâturer le bétail.","« Le danger disparaît en quelques jours »","How long can anthrax germs persist in contaminated soil?","[""A few hours"", ""A few days"", ""Several years"", ""They do not survive outside the animal""]","In spore form, these germs survive for a very long time in the soil. A contaminated pasture can become dangerous again years later, especially after heavy rain.","Report any outbreak so the area can be managed, and avoid grazing livestock there.","Traduit","","INV-B-004","MINEPIA;MINEPDED","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-010","DUSSC-M03-010-v1","1","2026-08-02","M03","Notification","Orientation","Grand public","A2;B1;B3","Question courante","Qui devez-vous prévenir en premier devant une mortalité animale inhabituelle ?","[""Le chef de quartier uniquement"", ""Le centre zootechnique et vétérinaire de votre arrondissement"", ""L'acheteur habituel de vos animaux"", ""Personne, si l'animal était isolé""]","B","Le service vétérinaire est le premier destinataire. Il évalue la situation, protège les autres élevages et informe les services de santé si nécessaire.","Notez dès aujourd'hui les coordonnées de votre centre zootechnique et vétérinaire.","« Il n'y a personne à prévenir »","Who should you inform first when animals die unexpectedly?","[""The quarter head only"", ""The zootechnical and veterinary centre of your subdivision"", ""Your usual livestock buyer"", ""Nobody, if the animal was on its own""]","The veterinary service is the first point of contact. It assesses the situation, protects other farms and informs the health services where needed.","Note down today the contact details of your zootechnical and veterinary centre.","Traduit","","INV-B-004","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-011","DUSSC-M03-011-v1","1","2026-08-02","M03","Protection individuelle","Situation","Professionnel","D2;D1","Question courante","Lors d'une intervention sur un foyer suspect de charbon, quelle précaution est indispensable ?","[""Travailler rapidement, sans équipement, pour limiter le temps d'exposition"", ""Faire manipuler la carcasse par les propriétaires"", ""Ouvrir la carcasse pour confirmer le diagnostic sur place"", ""Porter l'équipement de protection prévu, éviter toute ouverture de la carcasse et respecter le protocole d'élimination""]","D","L'ouverture de la carcasse dissémine massivement les spores. La confirmation se fait par les prélèvements prévus au protocole, pas par une autopsie sur le terrain.","Appliquez strictement le protocole national et le port des équipements de protection.","« Il faut ouvrir l'animal pour savoir »","During an intervention on a suspected anthrax outbreak, which precaution is essential?","[""Working fast, without equipment, to limit exposure time"", ""Having the owners handle the carcass"", ""Opening the carcass to confirm the diagnosis on site"", ""Wearing the prescribed protective equipment, avoiding any opening of the carcass and following the disposal protocol""]","Opening the carcass releases spores on a massive scale. Confirmation is obtained through the samples set out in the protocol, not through a field autopsy.","Apply the national protocol strictly and wear the prescribed protective equipment.","Traduit","","INV-B-004","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M03-012","DUSSC-M03-012-v1","1","2026-08-02","M03","Mortalité animale subite","Situation","Grand public","A2;B1;B3;B4;D2","Ancre post-test","Un voisin vous annonce que deux de ses chèvres sont mortes subitement cette nuit et qu'il compte les dépecer. Que lui conseillez-vous ?","[""De les dépecer rapidement avant que la viande ne s'abîme"", ""De ne rien toucher, d'éloigner les animaux et les enfants, et d'appeler immédiatement le service vétérinaire"", ""De les enterrer discrètement"", ""De les vendre à un commerçant""]","B","Ouvrir une carcasse d'animal mort subitement expose la famille et contamine durablement le lieu. Le service vétérinaire organise une élimination sûre.","Aidez-le à contacter le centre zootechnique et vétérinaire sans délai.","« Il faut sauver la viande avant qu'elle ne s'abîme »","A neighbour tells you that two of his goats died suddenly last night and that he intends to skin them. What do you advise him?","[""To skin them quickly before the meat spoils"", ""To touch nothing, keep animals and children away, and call the veterinary service immediately"", ""To bury them discreetly"", ""To sell them to a trader""]","Opening the carcass of an animal that died suddenly exposes the family and contaminates the site for a long time. The veterinary service arranges safe disposal.","Help him contact the zootechnical and veterinary centre without delay.","Traduit","","INV-B-004","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M04-001","DUSSC-M04-001-v1","1","2026-08-02","M04","Mortalité avicole anormale","Situation","Grand public","B2;A2;B4;D2","Ancre pré-test","En trois jours, un tiers de vos poulets sont morts sans cause apparente. Quelle est la bonne conduite ?","[""Vendre rapidement les poulets restants au marché"", ""Ne rien dire et attendre la fin de la mortalité"", ""Donner les oiseaux morts aux chiens"", ""Ne pas déplacer les oiseaux, limiter les entrées dans le poulailler, ne pas manipuler à mains nues, et alerter immédiatement le service vétérinaire""]","D","Vendre ou déplacer des animaux issus d'un élevage touché propage la maladie à d'autres élevages et expose des personnes. Le signalement rapide limite les pertes.","Contactez le centre zootechnique et vétérinaire de votre arrondissement.","« Il faut vendre vite avant que les autres ne meurent »","Within three days, a third of your chickens have died with no apparent cause. What is the right course of action?","[""Sell the remaining chickens quickly at the market"", ""Say nothing and wait for the deaths to stop"", ""Give the dead birds to the dogs"", ""Do not move the birds, limit entry into the poultry house, do not handle birds with bare hands, and alert the veterinary service immediately""]","Selling or moving animals from an affected farm spreads the disease to other farms and exposes people. Reporting quickly limits losses.","Contact the zootechnical and veterinary centre of your subdivision.","Traduit","","INV-B-005","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M04-002","DUSSC-M04-002-v1","1","2026-08-02","M04","Introduction de nouveaux animaux","Situation","Grand public","B2;A2","Question courante","Vous achetez des poulets pour agrandir votre élevage. Que faites-vous en priorité ?","[""Je les mets directement avec les autres"", ""Je les garde séparés et sous observation pendant la période recommandée avant de les introduire"", ""Je les vaccine seulement s'ils tombent malades"", ""Je les lave avant de les introduire""]","B","Un animal apparemment sain peut être porteur d'une maladie. La séparation temporaire est la mesure de biosécurité la plus simple et la plus efficace.","Prévoyez un espace de mise à l'écart pour tout nouvel animal introduit.","« Un animal qui a l'air sain ne présente aucun risque »","You buy chickens to expand your farm. What do you do first?","[""I put them straight in with the others"", ""I keep them separate and under observation for the recommended period before introducing them"", ""I vaccinate them only if they fall sick"", ""I wash them before introducing them""]","An animal that looks healthy may already carry a disease. Keeping new animals apart for a time is the simplest and most effective biosecurity measure.","Set aside a separate space for every newly introduced animal.","Traduit","","INV-B-005","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M04-003","DUSSC-M04-003-v1","1","2026-08-02","M04","Oiseaux sauvages","Situation","Grand public","A2;B2;D2;B5","Question courante","Vous trouvez plusieurs oiseaux sauvages morts près d'un plan d'eau. Que faites-vous ?","[""Je les ramasse pour les examiner"", ""Je les enterre moi-même"", ""Je ne les touche pas, j'éloigne les enfants et les animaux, et je signale aux services vétérinaires ou des forêts et de la faune"", ""Je les donne à manger aux volailles""]","C","Les oiseaux sauvages peuvent porter des virus transmissibles aux volailles et parfois aux personnes. Le signalement permet une investigation rapide.","Signalez au service vétérinaire ou au service des forêts et de la faune le plus proche.","« Les oiseaux sauvages morts ne concernent personne »","You find several dead wild birds near a body of water. What do you do?","[""I pick them up to examine them"", ""I bury them myself"", ""I do not touch them, keep children and animals away, and report to the veterinary service or the forestry and wildlife service"", ""I feed them to my poultry""]","Wild birds can carry viruses that pass to poultry and sometimes to people. Reporting allows a rapid investigation.","Report to the nearest veterinary service or forestry and wildlife service.","Traduit","","INV-B-005","MINEPIA;MINFOF","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M04-004","DUSSC-M04-004-v1","1","2026-08-02","M04","Mélange des espèces","Connaissance","Intermédiaire","B2","Question courante","Élever ensemble poules, canards et porcs dans le même espace :","[""Facilite le passage et la transformation de certains virus d'une espèce à l'autre"", ""Ne présente aucun risque particulier"", ""Est recommandé pour économiser l'espace"", ""N'a d'effet que sur la croissance des animaux""]","A","Le mélange d'espèces favorise les échanges de virus et leur adaptation. C'est une situation à éviter, en particulier avec les palmipèdes et les porcs.","Séparez autant que possible les espèces et limitez leurs contacts.","« Mélanger les espèces n'a que des avantages pratiques »","Keeping chickens, ducks and pigs together in the same space:","[""Makes it easier for some viruses to pass between species and change"", ""Carries no particular risk"", ""Is recommended to save space"", ""Only affects how fast the animals grow""]","Mixing species favours the exchange of viruses and their adaptation. It is a situation to avoid, particularly with waterfowl and pigs.","Separate species as far as possible and limit contact between them.","Traduit","","INV-B-005","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M04-005","DUSSC-M04-005-v1","1","2026-08-02","M04","Vente en urgence","Attitude","Grand public","B2;B4","Question courante","Face à une mortalité anormale dans son élevage, un aviculteur décide de vendre rapidement les oiseaux restants. Cette décision :","[""Est la plus dangereuse, car elle diffuse la maladie vers d'autres élevages et d'autres localités"", ""Est raisonnable sur le plan économique"", ""Est sans conséquence si les oiseaux paraissent sains"", ""Est acceptable si le prix est réduit""]","A","La vente en urgence est le principal mécanisme de diffusion des foyers avicoles. Elle transforme un problème local en épidémie régionale.","Ne vendez ni ne déplacez d'animaux avant l'avis du service vétérinaire.","« Vendre vite limite mes pertes »","Faced with unusual deaths on his farm, a poultry keeper decides to sell the remaining birds quickly. This decision:","[""Is the most dangerous, because it spreads the disease to other farms and other localities"", ""Is reasonable in economic terms"", ""Has no consequence if the birds look healthy"", ""Is acceptable if the price is reduced""]","Emergency selling is the main way poultry outbreaks spread. It turns a local problem into a regional epidemic.","Do not sell or move any animal before the veterinary service has given its opinion.","Traduit","","INV-B-005","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M04-006","DUSSC-M04-006-v1","1","2026-08-02","M04","Biosécurité de base","Situation","Intermédiaire","B2","Question courante","Quelle mesure simple réduit le plus le risque d'introduction d'une maladie dans un poulailler ?","[""Repeindre le bâtiment chaque année"", ""Augmenter la densité d'animaux"", ""Limiter les visites, prévoir des chaussures et un matériel réservés à l'élevage, et nettoyer régulièrement"", ""Nourrir les animaux plus souvent""]","C","Les maladies entrent le plus souvent par les personnes, les chaussures, le matériel et les véhicules. Contrôler ces entrées est la base de la biosécurité.","Installez un point de nettoyage à l'entrée et réservez des bottes à l'élevage.","« Les maladies arrivent uniquement par les animaux »","Which simple measure most reduces the risk of a disease entering a poultry house?","[""Repainting the building every year"", ""Increasing the number of birds per space"", ""Limiting visits, keeping boots and equipment for the farm alone, and cleaning regularly"", ""Feeding the birds more often""]","Diseases most often enter through people, footwear, equipment and vehicles. Controlling these entries is the basis of biosecurity.","Set up a cleaning point at the entrance and keep boots for the farm alone.","Traduit","","INV-B-005","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M04-007","DUSSC-M04-007-v1","1","2026-08-02","M04","Consommation de volaille","Connaissance","Grand public","A1;A3;C1","Question courante","Concernant la consommation de volaille et d'œufs en période de foyer d'influenza aviaire :","[""Il faut cesser toute consommation de volaille"", ""Les produits issus d'élevages sains et bien cuits restent consommables ; c'est la manipulation d'animaux malades ou morts qui expose"", ""Seuls les œufs crus sont sans danger"", ""La cuisson n'a aucune importance""]","B","Le risque principal vient du contact direct avec des oiseaux malades ou morts, pas de la consommation de produits contrôlés et bien cuits.","Achetez auprès de circuits contrôlés et cuisez complètement volaille et œufs.","« Il faut arrêter de manger de la volaille dès qu'un foyer apparaît »","Regarding poultry and eggs during an avian influenza outbreak:","[""All poultry consumption must stop"", ""Products from healthy farms, well cooked, remain safe; the risk comes from handling sick or dead birds"", ""Only raw eggs are safe"", ""Cooking makes no difference""]","The main risk comes from direct contact with sick or dead birds, not from eating controlled and well-cooked products.","Buy from controlled outlets and cook poultry and eggs thoroughly.","Traduit","","INV-B-005","MINEPIA;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
